features,model,fractal,regime_mode,used_lime,used_online_adapt,used_rfe,rfe_features_selected,mse,rmse,mae,r2,explained_variance,mape
GEX+SKEW,ANN,hurst,feature,False,False,False,,0.0036913626983345878,0.060756585637563504,0.044182720577113505,-0.5222508692721339,-0.5010186049304515,46.273091945297544
GEX+SKEW,RNN,hurst,feature,False,False,False,,0.0025970365590009116,0.050961127921200014,0.041315897069106634,-0.07097066382944606,-0.009679786021436376,52.80284601470871
GEX+SKEW,LSTM,hurst,feature,False,False,False,,0.0022508888818052967,0.047443533614237636,0.037163038866365364,0.07177434541748695,0.09016965808402633,41.407110301588965
GEX+SKEW,GRU,hurst,feature,False,False,False,,0.002339090377414887,0.048364143509576255,0.03746648518157712,0.03540165209656876,0.09613766408019508,37.81713922639357
GEX+SKEW,CNN,hurst,feature,False,False,False,,0.004244015235800726,0.0651461068353338,0.04882439396234277,-0.7501547287175447,-0.7297429225050078,47.19939018159495
GEX+SKEW,CNN_LSTM,hurst,feature,False,False,False,,0.002839425227879771,0.053286257401695715,0.04319712399134541,-0.1709273443444843,-0.1707875542592303,50.90907844379071
GEX+SKEW,ARIMA,wavelet,feature,False,False,False,,12.702823412402791,3.564102048539406,2.9374060154091994,-0.021310779236695998,0.16315588651216872,19.21949039288694
GEX+SKEW,GARCH,wavelet,feature,False,False,False,,66.35858810930222,8.146078081463633,7.332374104463167,-4.335250214120618,-0.01263194414518276,41.34189807175817
GEX+SKEW,ANN,wavelet,feature,False,False,False,,0.012144320621529854,0.11020127323007595,0.09836489600740518,-4.343058028436825,-0.31609618819624985,114.08682897907705
GEX+SKEW,RNN,wavelet,feature,False,False,False,,0.015988796054893544,0.12644681116933532,0.11825690301948882,-6.03448696625207,0.034593887501709664,139.79579472413212
GEX+SKEW,LSTM,wavelet,feature,False,False,False,,0.007915785001232896,0.08897069743029384,0.0820390502011293,-2.482656619526015,0.2907238235210998,102.01247851550703
GEX+SKEW,GRU,wavelet,feature,False,False,False,,0.007150108483851161,0.08455831410246517,0.07779542045152509,-2.145786885032241,0.343589928731701,95.82200355212919
GEX+SKEW,CNN,wavelet,feature,False,False,False,,0.00838685954790272,0.09157979879811223,0.08001977842120936,-2.6899122344769455,-0.1981068488366402,93.21911838557787
GEX+SKEW,CNN_LSTM,wavelet,feature,False,False,False,,0.013189213077370449,0.1148442992811156,0.10677646751813229,-4.802772589590174,0.05542727432345984,129.3332266950646
GEX+PUTCALLRATIO,ARIMA,none,feature,False,False,False,,11.513700160040147,3.3931843687073866,2.7544182343067853,0.3794056249896901,0.46991275916712183,17.696373638475936
GEX+PUTCALLRATIO,GARCH,none,feature,False,False,False,,83.67996314673759,9.147675286472383,8.049273817180802,-3.5103931584192214,-0.018135148491324138,43.46097916660083
GEX+PUTCALLRATIO,ANN,none,feature,False,False,False,,0.0030712157385118246,0.055418550490894516,0.040904701561105476,0.08342504293993724,0.20645113983819097,35.25387761168081
GEX+PUTCALLRATIO,RNN,none,feature,False,False,False,,0.0035517122042275184,0.05959624320565449,0.050354483870802234,-0.05997453069088743,0.13358747196854337,64.52449844588098
GEX+PUTCALLRATIO,LSTM,none,feature,False,False,False,,0.0028124937128409487,0.05303294931305394,0.04150645574435842,0.16063815649498892,0.17039606369628169,44.04672666595444
GEX+PUTCALLRATIO,GRU,none,feature,False,False,False,,0.003363197833309031,0.05799308435761139,0.043737230408062794,-0.003714220070851759,0.12178940676389316,40.28418217431547
GEX+PUTCALLRATIO,CNN,none,feature,False,False,False,,0.0028306841897751717,0.053204174552145544,0.0413752317371372,0.15520938266910123,0.1729194714551502,40.50961318155044
GEX+PUTCALLRATIO,CNN_LSTM,none,feature,False,False,False,,0.002669861381526359,0.05167070138411476,0.04125403688245382,0.20320541131551617,0.20325365874612822,42.90421892692623
GEX+PUTCALLRATIO,ARIMA,hurst,feature,False,False,False,,12.124524539457317,3.4820287964715795,2.834046747840598,0.091124633435402,0.262894040917397,18.53619374333981
GEX+PUTCALLRATIO,GARCH,hurst,feature,False,False,False,,70.8938544375359,8.419848836976582,7.572674555575782,-4.314326160123115,-0.015615624488694024,42.32403066140999
GEX+PUTCALLRATIO,ANN,hurst,feature,False,False,False,,0.0030585174756780835,0.0553038649253204,0.0391565885362076,-0.26127700432567114,-0.16041624044519853,34.43037581559918
GEX+PUTCALLRATIO,RNN,hurst,feature,False,False,False,,0.008951156835157004,0.09461055350835341,0.08335873095321142,-2.6912943503103826,-0.1461426964698913,116.14440447540106
GEX+PUTCALLRATIO,LSTM,hurst,feature,False,False,False,,0.0030546155802531685,0.05526857678874288,0.04541011549389788,-0.2596679335873595,-0.08767968495433798,61.666753418116606
